row_id,platform,target,subtask,reference_capability,f1tr_evidence,same_scale_numeric_gap,status,confidence,severity,evidence_path,evidence_locator,limitations,relative_position,comparison_scope,unit,metric,gap_value,reference_sample_size,finding_category,counts_toward_advantage_rate
F1P-11,F1pace,product_scope,完整交互、更新频率和解释工作流,只冻结了有限页面/图片与方法卡。,F1 TR 有可审计矩阵和账本，但当前 layer 开关未真正分流数据。,UNKNOWN,UNKNOWN,medium,P1,frontend/src/track-validation-v3.js,lines 375-404;548-560,不能用局部截图推断双方完整产品完成度。,UNKNOWN,opaque_product_scope,,,,,UNKNOWN_PRODUCT_SCOPE,False
DD-01,DeltaData,clean_air_pace,2026 同场 Mercedes clean-air H2H 数值,冻结图含 11 个公开 H2H 数值，其中 3 个有本地同场数据。,3 行 reference-informed benchmark：MAE 0.09134 pp，max 0.111173 pp。,MAE=0.091340 pp; max=0.111173 pp,FAIL,high,P1,frontend/public/data/reference-analysis-lab/v2/run=20260731T153000+0800-deltadata-reverse-engineered-v2/deltadata_reverse_engineered_v2.json,$.reference_benchmark.metrics,不是盲测；3 行中仅 1 行通过可比门，另外 2 行为 audit_only。,BEHIND,same_event_same_task_same_unit,percentage_points,mae_pp,0.09134,3,VERIFIED_SAME_SCALE,False
DD-02,DeltaData,clean_air_direction,同场 Mercedes H2H 方向,公开图给出快慢方向。,3/3 方向一致。,direction_accuracy=100%; disagreement=0 percentage points,PASS,medium,P2,frontend/public/data/reference-analysis-lab/v2/run=20260731T153000+0800-deltadata-reverse-engineered-v2/deltadata_reverse_engineered_v2.json,$.reference_benchmark.metrics.direction_accuracy,小样本且 reference-informed，不能外推赛季方向准确率。,PARITY,same_event_same_task_same_unit,percentage_points,direction_disagreement,0.0,3,VERIFIED_SAME_SCALE,False
DD-03,DeltaData,fuel_scenario,公开具名燃油情景 0.032 s/lap,公开方法文字给出 2026 燃油折损 0.032 s/圈。,F1 TR v2 方法等价层使用相同固定情景。,parameter_gap=0 s/lap,PASS,high,P2,frontend/public/data/reference-analysis-lab/v2/run=20260731T153000+0800-deltadata-reverse-engineered-v2/deltadata_reverse_engineered_v2.json,$.method_card.publicly_stated_method[1],这是情景参数，不是真实逐车燃油；不能写成已识别燃油效应。,PARITY,same_method_invariant,seconds_per_lap,fuel_scenario_parameter_gap,0.0,,VERIFIED_METHOD_MATCH,False
DD-04,DeltaData,real_fuel,真实逐车燃油量与燃油效应,平台是否使用额外私有燃油信息未公开。,公开 telemetry 不含真实燃油量，F1 TR 只能发布具名情景。,NOT_TESTED,NOT_TESTED,high,P0,frontend/public/data/reference-analysis-lab/v2/run=20260731T153000+0800-deltadata-reverse-engineered-v2/deltadata_reverse_engineered_v2.json,$.method_card.not_identifiable,真实燃油不可识别；不得把 0.032 s/lap 情景称为测量值。,UNKNOWN,non_identifiable,,,,,UNKNOWN_CLOSED_METHOD,False
DD-05,DeltaData,degradation,轮胎衰减标准化,公开方法称会标准化 Stint/衰减，但精确公式不公开。,F1 TR 有胎龄/配方代理和 degradation_direction.csv。,NOT_TESTED,NOT_TESTED,high,P1,research/records/reference_analysis_lab_v3/run=20260731T235900+0800-track-validation-v3/targets/deltadata/degradation_direction.csv,all rows; no public same-event degradation truth,真实胎况/磨损不可识别，且没有同事件同量纲冻结真值。,UNKNOWN,no_same_scale_truth,,,,,UNKNOWN_CLOSED_METHOD,False
DD-06,DeltaData,teammate_comparison,同队共同支持 H2H,公开产品以同队 clear-air H2H 为主要输出。,F1 TR v2 对 10 对同队车手逐对门控，4 对可比、6 对 audit_only。,N/A — capability and gate match,PASS,medium,P2,frontend/public/data/reference-analysis-lab/v2/run=20260731T153000+0800-deltadata-reverse-engineered-v2/deltadata_reverse_engineered_v2.json,$.audited_analysis.comparable_teammate_pairs,可比门持平不等于 4 对的数值都已被外部真值验证。,PARITY,same_method_invariant,pairs,comparable_pair_gate,0.0,10,VERIFIED_METHOD_MATCH,False
DD-07,DeltaData,comparability_gate,不可比队/车手不强行全序,公开能力聚焦同队与代表圈，跨队精确因果不可从截图确认。,F1 TR direct_total_order_allowed=false，并输出 gate_failures。,N/A — fail-close semantic match,PASS,medium,P2,frontend/public/data/reference-analysis-lab/v2/run=20260731T153000+0800-deltadata-reverse-engineered-v2/deltadata_reverse_engineered_v2.json,$.audited_analysis.direct_total_order_allowed,这是审计边界持平；不能推断 DeltaData 完整产品是否有同等账本。,PARITY,same_method_invariant,boolean,direct_total_order_allowed,0.0,,VERIFIED_METHOD_MATCH,False
DD-08,DeltaData,manual_review,逐圈人工代表性复核,公开方法明确称逐圈人工复核。,F1 TR 用 Huber 自动降权代替不可得的人工标签。,N/A — verified capability gap,FAIL,high,P1,frontend/public/data/reference-analysis-lab/v2/run=20260731T153000+0800-deltadata-reverse-engineered-v2/deltadata_reverse_engineered_v2.json,$.method_card.publicly_stated_method[2],已证实功能差距；人工复核对准确率的净收益仍未知。,BEHIND,same_capability_disclosed,capability,manual_lap_review,1.0,,VERIFIED_CAPABILITY_GAP,False
DD-09,DeltaData,track_model_selection,分赛道/族群模型发布确认,平台训练/发布流程闭源。,11 个专用模型由同一 outer fold 结果选择并报告，没有 untouched final test。,NOT_COMPARABLE_INTERNAL_PROTOCOL,FAIL,high,P0,research/run_reference_analysis_lab_track_validation_v3.py,lines 1078-1185,这是 F1 TR 发布门缺陷，无法与闭源平台量化比较。,UNKNOWN,f1tr_internal_protocol_only,,,,11,INTERNAL_ONLY,False
DD-10,DeltaData,absolute_tail_gate,澳大利亚 selected cluster 尾部,没有同单元 DeltaData 真值。,selected cluster：MAE 2.012158 s，P90 7.680258 s，max 11.168040 s，仍被发布。,NOT_COMPARABLE_INTERNAL_PROXY,FAIL,high,P0,research/records/reference_analysis_lab_v3/run=20260731T235900+0800-track-validation-v3/targets/deltadata/model_comparison.csv,track_key=australian-grand-prix; model_type=cluster,证明相对门不能阻止绝对失真；不是对 DeltaData 的 11.168 s 差距。,UNKNOWN,f1tr_internal_proxy_only,seconds,max_abs_error,11.168040178378892,355,INTERNAL_ONLY,False
DD-11,DeltaData,opaque_parameters,clean-air 阈值、赛季权重与人工标签,精确公式、阈值、标签和赛季权重未公开。,80% clean-air 是 F1 TR 工程选择，非原作者公开数字。,UNKNOWN,UNKNOWN,high,P1,frontend/public/data/reference-analysis-lab/v2/run=20260731T153000+0800-deltadata-reverse-engineered-v2/deltadata_reverse_engineered_v2.json,$.method_card.visual_inference[0],不能宣称一对一复刻或计算精确算法差距。,UNKNOWN,opaque_product_scope,,,,,UNKNOWN_CLOSED_METHOD,False
DD-12,DeltaData,product_scope,公开平台完整赛季覆盖与交互,本地只冻结有限方法帖与图表。,F1 TR 内部覆盖 70 events/24 tracks，但外部同场数值只有 3 行。,UNKNOWN,UNKNOWN,high,P1,frontend/public/data/reference-analysis-lab/v2/run=20260731T153000+0800-deltadata-reverse-engineered-v2/deltadata_reverse_engineered_v2.json,$.reference_benchmark,不能把内部 70 场覆盖换算为对平台产品覆盖的领先。,UNKNOWN,different_evidence_universe,,,,,UNKNOWN_PRODUCT_SCOPE,False
FDA-01,FDataAnalysis,distance_axis,标准化赛道距离轴,公开图按赛道距离展示 telemetry/pace 特征。,"F1 TR 使用 rel_distance 0..1 和 1,200 点轴。",N/A — disclosed visual method capability,PASS,medium,P2,frontend/public/data/reference-analysis-lab/v2/run=20260731T170000+0800-fdataanalysis-reverse-engineered-v2/report.json,$.visual_replication,轴语义持平；没有同场逐点真值验证对齐误差。,PARITY,same_method_invariant,lap_fraction,axis_endpoint_gap,0.0,,VERIFIED_METHOD_MATCH,False
FDA-02,FDataAnalysis,corner_straight_segments,弯道/直道分段,公开分析按赛道位置解释弯道、直道与控制特征。,F1 TR 输出 corners/straights observable proxies 和边界。,N/A — capability match,PASS,medium,P2,research/records/reference_analysis_lab_v3/run=20260731T235900+0800-track-validation-v3/targets/fdataanalysis/segmentation_events.csv,rows by event/segment,F1 TR 是观测代理，不是 FIA 官方弯角编号。,PARITY,same_method_invariant,capability,segment_capability,0.0,,VERIFIED_METHOD_MATCH,False
FDA-03,FDataAnalysis,control_features,速度、油门、制动等控制特征,公开图具有速度/控制特征分析能力。,F1 TR 冻结 speed/throttle/brake/DRS 及距离占比。,N/A — observable channel capability,PASS,medium,P2,frontend/public/data/reference-analysis-lab/v2/run=20260731T170000+0800-fdataanalysis-reverse-engineered-v2/report.json,$.method_identity,采样、插值、阈值和展示平滑未同场校验。,PARITY,same_method_invariant,capability,observable_channel_capability,0.0,,VERIFIED_METHOD_MATCH,False
FDA-04,FDataAnalysis,track_dominance_numeric,同场赛道主导区段数值,冻结参考图片来自 2026 Hungary。,F1 TR pilot/v3 对照事件是 2025 Abu Dhabi/2023-2025 内部代理。,NOT_TESTED,NOT_TESTED,high,P1,frontend/public/data/reference-analysis-lab/v2/run=20260731T170000+0800-fdataanalysis-reverse-engineered-v2/report.json,$.reference_identity.images[*].status,事件/赛季/任务不同，严禁做数值差值。,UNKNOWN,no_same_event_truth,,,,,UNKNOWN_PRODUCT_SCOPE,False
FDA-05,FDataAnalysis,speed_trace_numeric,同场逐点速度/时间差,没有冻结同事件逐点公开数值真值。,"v3 MAE 是对 F1 TR 自身 1,200 轴的重采样一致性。",NOT_TESTED,NOT_TESTED,high,P1,research/records/reference_analysis_lab_v3/run=20260731T235900+0800-track-validation-v3/targets/fdataanalysis/model_comparison.csv,unit=lap_fraction; target=self profile,0.00032 lap-fraction 不能称为相对 FDataAnalysis 的误差。,UNKNOWN,f1tr_internal_proxy_only,lap_fraction,internal_resampling_mae,0.000319779,24,INTERNAL_ONLY,False
FDA-06,FDataAnalysis,weighting_and_smoothing,采样/时间加权与平滑策略,公开图片无法恢复精确权重和滤波参数。,F1 TR 已量化 sample vs time weighting gap 0.308727 pp。,UNKNOWN,UNKNOWN,medium,P1,frontend/public/data/reference-analysis-lab/v2/run=20260731T170000+0800-fdataanalysis-reverse-engineered-v2/report.json,$.validation,这是敏感性提示，不是平台误差。,UNKNOWN,opaque_product_scope,percentage_points,internal_weighting_sensitivity,0.308727,,INTERNAL_ONLY,False
FDA-07,FDataAnalysis,lap_time_reconstruction,速度积分重建圈时,没有同场平台数值真值。,2025 Abu Dhabi 内部重建 MAE 0.154728 s、P90 0.304797 s、max 0.836559 s。,NOT_COMPARABLE_INTERNAL_PROXY,FAIL,medium,P1,frontend/public/data/reference-analysis-lab/v2/run=20260731T170000+0800-fdataanalysis-reverse-engineered-v2/report.json,$.validation,内部物理一致性，不得计为对平台落后或持平。,UNKNOWN,f1tr_internal_proxy_only,seconds,lap_time_reconstruction_mae,0.154728,,INTERNAL_ONLY,False
FDA-08,FDataAnalysis,cross_year_stability,2023-2025 赛道结构稳定性,平台跨年稳定性算法与覆盖未冻结。,F1 TR 23/24 赛道 proxy stable，Dutch 标为 discontinuity。,NOT_COMPARABLE — method evidence only,PASS,medium,P2,research/records/reference_analysis_lab_v3/run=20260731T235900+0800-track-validation-v3/targets/fdataanalysis/layout_stability.csv,rows=24; layout_proxy_status,可作为暂定方法学优势，但不能推断平台没有类似处理。,UNKNOWN,f1tr_internal_protocol_only,tracks,stable_tracks,23.0,24,METHOD_ONLY,False
FDA-09,FDataAnalysis,layout_change_boundary,布局变化禁止 track model,平台布局变化边界未公开。,Dutch observable discontinuity 会禁止 track-specific 发布。,NOT_COMPARABLE — fail-close method,PASS,medium,P2,research/records/reference_analysis_lab_v3/run=20260731T235900+0800-track-validation-v3/targets/fdataanalysis/coverage_matrix.csv,track_key=dutch-grand-prix; layout_proxy_status,是观测几何/采样不连续代理，不是已证实赛道改造。,UNKNOWN,f1tr_internal_protocol_only,boolean,layout_gate,1.0,1,METHOD_ONLY,False
FDA-10,FDataAnalysis,product_scope,完整图表、赛季和解释能力,只冻结两个不同事件图片和方法证据。,F1 TR 有 70 场内部 profile，但无同场外部逐点真值。,UNKNOWN,UNKNOWN,high,P1,frontend/public/data/reference-analysis-lab/v2/run=20260731T170000+0800-fdataanalysis-reverse-engineered-v2/report.json,$.reference_identity.images,不能从两张图推断平台完整产品，也不能报复刻率。,UNKNOWN,opaque_product_scope,,,,,UNKNOWN_PRODUCT_SCOPE,False
FTD-01,F1TelemetryData,qualifying_lap_delta,排位圈速差,冻结 2025 Abu Dhabi 公开同场图表包含排位圈速差。,F1 TR v2/v3 同场对照：0 s。,0 s,PASS,high,P2,frontend/public/data/reference-analysis-lab/v2/run=20260731T193000+0800-f1telemetrydata-reverse-engineered-v1/f1telemetrydata_reverse_engineered_v1.json,$.validation.qualifying.lap_delta,同场同任务同量纲；但参考来自公开图表转录和冻结 OpenF1 补充，不代表平台完整算法。,PARITY,same_event_same_task_same_unit,seconds,mae,0.0,20,VERIFIED_SAME_SCALE,False
FTD-02,F1TelemetryData,qualifying_control_sections,排位控制区段占比,冻结 2025 Abu Dhabi 公开同场图表包含排位控制区段占比。,F1 TR v2/v3 同场对照：MAE=2.639122 pp; max=6.157325 pp。,MAE=2.639122 pp; max=6.157325 pp,FAIL,high,P1,frontend/public/data/reference-analysis-lab/v2/run=20260731T193000+0800-f1telemetrydata-reverse-engineered-v1/f1telemetrydata_reverse_engineered_v1.json,$.validation.qualifying.lap_sections,公开控制阈值和采样处理不透明；约 3.7Hz 与本仓扩展采样差异会影响占比。,BEHIND,same_event_same_task_same_unit,percentage_points,mae_pp,2.639122,24,VERIFIED_SAME_SCALE,False
FTD-03,F1TelemetryData,qualifying_team_throttle,车队全油门占比,冻结 2025 Abu Dhabi 公开同场图表包含车队全油门占比。,F1 TR v2/v3 同场对照：MAE=1.195668 pp; max=3.084442 pp。,MAE=1.195668 pp; max=3.084442 pp,FAIL,high,P1,frontend/public/data/reference-analysis-lab/v2/run=20260731T193000+0800-f1telemetrydata-reverse-engineered-v1/f1telemetrydata_reverse_engineered_v1.json,$.validation.qualifying.team_throttle,同场同任务同量纲；但参考来自公开图表转录和冻结 OpenF1 补充，不代表平台完整算法。,BEHIND,same_event_same_task_same_unit,percentage_points,mae_pp,1.195668,10,VERIFIED_SAME_SCALE,False
FTD-04,F1TelemetryData,race_average_gap,正赛平均差距,冻结 2025 Abu Dhabi 公开同场图表包含正赛平均差距。,F1 TR v2/v3 同场对照：MAE=0.000216 s; max=0.000471 s。,MAE=0.000216 s; max=0.000471 s,PASS,high,P2,frontend/public/data/reference-analysis-lab/v2/run=20260731T193000+0800-f1telemetrydata-reverse-engineered-v1/f1telemetrydata_reverse_engineered_v1.json,$.validation.race.average_gap,同场同任务同量纲；但参考来自公开图表转录和冻结 OpenF1 补充，不代表平台完整算法。,PARITY,same_event_same_task_same_unit,seconds,mae,0.000216,20,VERIFIED_SAME_SCALE,False
FTD-05,F1TelemetryData,race_fastest_lap,正赛最快圈,冻结 2025 Abu Dhabi 公开同场图表包含正赛最快圈。,F1 TR v2/v3 同场对照：MAE=0 s; max=0 s。,MAE=0 s; max=0 s,PASS,high,P2,frontend/public/data/reference-analysis-lab/v2/run=20260731T193000+0800-f1telemetrydata-reverse-engineered-v1/f1telemetrydata_reverse_engineered_v1.json,$.validation.race.fastest_laps,同场同任务同量纲；但参考来自公开图表转录和冻结 OpenF1 补充，不代表平台完整算法。,PARITY,same_event_same_task_same_unit,seconds,mae,0.0,20,VERIFIED_SAME_SCALE,False
FTD-06,F1TelemetryData,pit_lane_duration,维修区通道时长,冻结 2025 Abu Dhabi 公开同场图表包含维修区通道时长。,F1 TR v2/v3 同场对照：MAE=0.065808 s; max=0.363 s。,MAE=0.065808 s; max=0.363 s,FAIL,high,P1,frontend/public/data/reference-analysis-lab/v2/run=20260731T193000+0800-f1telemetrydata-reverse-engineered-v1/f1telemetrydata_reverse_engineered_v1.json,$.validation.race.pit_team_means,lane_duration 是维修区通道时长，不是静止换胎 stop_duration。,BEHIND,same_event_same_task_same_unit,seconds,mae,0.065808,10,VERIFIED_SAME_SCALE,False
FTD-08,F1TelemetryData,qualifying_top_speed,排位最高速,冻结 2025 Abu Dhabi 公开同场图表包含排位最高速。,F1 TR v2/v3 同场对照：MAE=0 km/h; max=0 km/h。,MAE=0 km/h; max=0 km/h,PASS,high,P2,frontend/public/data/reference-analysis-lab/v2/run=20260731T193000+0800-f1telemetrydata-reverse-engineered-v1/f1telemetrydata_reverse_engineered_v1.json,$.validation.qualifying.top_speed,同场同任务同量纲；但参考来自公开图表转录和冻结 OpenF1 补充，不代表平台完整算法。,PARITY,same_event_same_task_same_unit,kilometres_per_hour,mae,0.0,20,VERIFIED_SAME_SCALE,False
FTD-09,F1TelemetryData,qualifying_top3_sectors,前三名官方 sector,冻结 2025 Abu Dhabi 公开同场图表包含前三名官方 sector。,F1 TR v2/v3 同场对照：MAE=0 s; max=0 s。,MAE=0 s; max=0 s,PASS,high,P2,frontend/public/data/reference-analysis-lab/v2/run=20260731T193000+0800-f1telemetrydata-reverse-engineered-v1/f1telemetrydata_reverse_engineered_v1.json,$.validation.qualifying.top3_sector_mae_s,同场同任务同量纲；但参考来自公开图表转录和冻结 OpenF1 补充，不代表平台完整算法。,PARITY,same_event_same_task_same_unit,seconds,mae,0.0,9,VERIFIED_SAME_SCALE,False
FTD-10,F1TelemetryData,strategy_boundaries,前五名配方/Stint 边界,冻结 2025 Abu Dhabi 公开同场图表包含前五名配方/Stint 边界。,F1 TR v2/v3 同场对照：5/5 exact; mismatch=0 rows。,5/5 exact; mismatch=0 rows,PASS,high,P2,frontend/public/data/reference-analysis-lab/v2/run=20260731T193000+0800-f1telemetrydata-reverse-engineered-v1/f1telemetrydata_reverse_engineered_v1.json,$.validation.race.strategy_boundaries,同场同任务同量纲；但参考来自公开图表转录和冻结 OpenF1 补充，不代表平台完整算法。,PARITY,same_event_same_task_same_unit,rows,mismatch_rows,0.0,5,VERIFIED_SAME_SCALE,False
FTD-07,F1TelemetryData,qualifying_q1_q2_q3_phase,Q1/Q2/Q3 阶段身份与图表,平台公开图有阶段语义，但本地冻结没有逐阶段数值真值。,v3 model_comparison 正确为 NOT_TESTED；chart_reference_matrix 却把 Abu 行标为 REFERENCE_INFORMED。,NOT_TESTED,NOT_TESTED,high,P1,research/records/reference_analysis_lab_v3/run=20260731T235900+0800-track-validation-v3/targets/f1telemetrydata/chart_reference_matrix.csv,event=2025-24-abu-dhabi-grand-prix; task=qualifying_q1_q2_q3_phase,状态矛盾必须修复；缺真值前不能报数值准确。,UNKNOWN,no_same_scale_truth,,,,,INTERNAL_ONLY,False
FTD-11,F1TelemetryData,sampling_frequency,控制通道采样频率与阈值处理,平台完整采样/插值/阈值未公开。,冻结 raw car channel 约 3.7Hz，本仓 expanded-v4 约 7.692Hz。,UNKNOWN,UNKNOWN,high,P1,frontend/public/data/reference-analysis-lab/v2/run=20260731T193000+0800-f1telemetrydata-reverse-engineered-v1/f1telemetrydata_reverse_engineered_v1.json,$.validation.sample_frequency_boundary,频率不同可解释部分控制占比误差，但无法量化因果贡献。,UNKNOWN,opaque_product_scope,hertz,sampling_frequency_difference,3.992,,UNKNOWN_CLOSED_METHOD,False
FTD-12,F1TelemetryData,registry_granularity,七个图表任务独立发布身份,平台完整内部 registry 不可见。,v3 有 7 个 model_comparison task，却只有每赛道 1 个通用 registry 行。,NOT_COMPARABLE_INTERNAL_PROTOCOL,FAIL,high,P1,research/records/reference_analysis_lab_v3/run=20260731T235900+0800-track-validation-v3/targets/f1telemetrydata/model_registry.json,$.rows length=24; comparison tasks=7,会把不同任务的 PASS/NOT_TESTED 状态折叠成单一赛道状态。,UNKNOWN,f1tr_internal_protocol_only,tasks,unregistered_task_identities,6.0,7,INTERNAL_ONLY,False
FTD-13,F1TelemetryData,cross_event_coverage,跨赛季同场公开图表覆盖,本地冻结只有 2025 Abu Dhabi 同场参考。,其余 69/70 事件对每个图表任务均无公开同场参考。,NOT_TESTED,NOT_TESTED,high,P1,research/records/reference_analysis_lab_v3/run=20260731T235900+0800-track-validation-v3/targets/f1telemetrydata/coverage_matrix.csv,public_same_event_chart_reference=False rows=69,不能用一个事件外推 2023-2025 稳定性。,UNKNOWN,no_same_scale_truth,events,events_without_reference,69.0,70,UNKNOWN_PRODUCT_SCOPE,False
FTD-14,F1TelemetryData,product_scope,完整公开图表包、更新节奏和分析深度,本地冻结 13 张 2025 Abu Dhabi 参考图。,已覆盖若干数值任务，但平台完整产品能力不可从单场图包推断。,UNKNOWN,UNKNOWN,medium,P2,frontend/public/data/reference-analysis-lab/v2/run=20260731T193000+0800-f1telemetrydata-reverse-engineered-v1/f1telemetrydata_reverse_engineered_v1.json,$.reference_identity.chart_count,局部数值持平不能外推完整产品持平。,UNKNOWN,opaque_product_scope,,,,13,UNKNOWN_PRODUCT_SCOPE,False
GPT-01,GP Tempo,sector_endpoints,三个官方 sector 端点时间约束,公开方法以官方 sector timing 锚定累计 delta。,90 有序对 × 3 sector=270 端点，max error=0 s。,max_abs_sector_endpoint_error=0 s,PASS,high,P2,frontend/public/data/reference-analysis-lab/v2/run=20260731T213000+0800-gptempo-reverse-engineered-v1/gptempo_reverse_engineered_v1.json,$.validation.sector_endpoint_checks,这是构造约束必然成立，只验证端点实现，不验证段内曲线。,PARITY,same_method_invariant,seconds,max_abs_sector_endpoint_error,0.0,270,VERIFIED_METHOD_MATCH,False
GPT-02,GP Tempo,finish_endpoint,终点累计 delta 等于官方 sector 和,公开方法要求终点闭合。,90 个终点检查，max official sector sum error=0 s。,max_finish_error=0 s,PASS,high,P2,frontend/public/data/reference-analysis-lab/v2/run=20260731T213000+0800-gptempo-reverse-engineered-v1/gptempo_reverse_engineered_v1.json,$.validation.finish_endpoint_checks,仍是构造不变量，不是逐点独立真值。,PARITY,same_method_invariant,seconds,max_finish_error,0.0,90,VERIFIED_METHOD_MATCH,False
